Port_IDs,ROI,Sharpe_Ratio,PnL,MDD,Win_Rate,Win_Positions,Total_Positions,Normalized_MDD,Profitability_Score,Risk_Adjusted_Score,Trade_Success_Score,Overall_Composite_Score,Profitability_Rank,Risk_Adjusted_Rank,Trade_Success_Rank,Overall_Rank
3977116548751698176,0.1254979333812174,0.3207183111017549,0.15354294963417367,0.9901842396704701,0.3498427742987199,0.1576218458347736,0.26519519024872346,0.009815760329529891,0.12610816711967116,0.32493731023105005,0.34700514881412475,0.2520260045614209,46.0,121.0,113.0,119.0
3977234346014419201,0.3178908787552372,0.638728125187705,0.1751601254756388,1.0,0.4953702695047823,0.011406844106463879,0.011365508153516717,0.0,0.31478518894637675,0.6410048739515003,0.4882258500053217,0.4646832927655973,10.0,12.0,66.0,13.0
3978449781300392193,0.10961664423030525,0.4205085165340394,0.21619801856365284,0.9976424449796105,0.5466841347750674,0.11890770826132042,0.1268324822928677,0.002357555020389426,0.11193575682850612,0.42414563597162497,0.5403691653319137,0.33412874312246404,95.0,63.0,52.0,64.0
3981810242465907713,0.11565317667916528,0.45967794340682144,0.18001136014672703,1.0,0.14239214673211056,0.00414794331144141,0.014989293361884367,0.0,0.11705355151023224,0.4630830730617081,0.14035134254986656,0.22785174528756527,65.0,46.0,140.0,129.0
3983074113875692800,0.13344050393289442,0.6521014846684491,0.17513092048206835,1.0,0.40565204592287324,0.004839267196681645,0.0047768077746664465,0.0,0.13434764902131333,0.6542939540244399,0.3997351222842583,0.36994778250113475,39.0,10.0,99.0,35.0
3986814617275053313,0.13517297259220673,0.4922928826679992,0.34007897419373434,0.9999991790331009,0.9745889052500254,0.9609402004839267,0.583099983528249,8.209668991333886e-07,0.1396315385727393,0.4954924665913835,0.9743874188001083,0.49681658104654325,35.0,36.0,2.0,7.0
3987739404272887297,0.24941643750130998,0.3303025730666226,0.294162430779695,0.9982881260937407,0.2844018352188663,0.4773591427583823,0.9942348871685059,0.0017118739062592673,0.25039006912672285,0.3345122428143099,0.28725033136176004,0.28668479990351015,15.0,112.0,122.0,103.0
3988071780777702657,0.1101557404386217,0.33610801500171605,0.18698264878813967,0.9812403955092844,0.46493871810327514,0.3076391289319046,0.39054521495634986,0.01875960449071561,0.11182742324575964,0.3401736632079819,0.46261661235487456,0.2855680519671608,97.0,107.0,77.0,104.0
3988187872032603905,0.13863803692106322,0.32093281647297717,0.1772049146073291,0.9948682948876759,0.4069851902945992,0.5914275838230211,0.8604842694778454,0.005131705112324106,0.1394772166790175,0.3251799828712905,0.4097079866128687,0.27625727751685475,36.0,120.0,96.0,112.0
3988205565930333696,0.10963442294148387,0.3602356038189503,0.18531650360350677,0.9976319802016993,0.4735210539912168,0.04873833390943657,0.05880415088123867,0.0023680197983006607,0.11128119535194655,0.3642524994400972,0.46725027857902857,0.29396331154651634,110.0,91.0,75.0,97.0
3991414786174551297,0.39301244629177623,0.43806752229064183,0.16758052934017031,0.9885064830637164,0.37257752219696133,0.03214656066367093,0.04892110031296327,0.011493516936283641,0.388107255287165,0.44153640905116254,0.3675519738349197,0.3979694169806907,6.0,51.0,110.0,24.0
3993014919980212480,0.1610611072994134,0.3322569041620602,0.18288276491394856,0.9987612603083025,0.5933859783782378,0.1144141030072589,0.11217262394992587,0.0012387396916974742,0.1615359264824464,0.33645723935202915,0.5863152457019468,0.34144611610917136,25.0,110.0,36.0,58.0
3993222640082269952,0.11850745018955401,0.4073116651851481,0.16872440404203815,0.9976848733127651,0.5787708004927624,0.49567922571724854,0.5061769066051721,0.0023151266872349177,0.11960012488108433,0.4110322190546703,0.577544176669736,0.3444129686697556,60.0,69.0,37.0,55.0
3994879592543698688,0.10321187331329397,0.2514496994725525,0.1897604500243252,0.9991350674304614,0.6887920267841566,0.12478396128586243,0.10525448855213308,0.0008649325695385973,0.10509509067526138,0.2561616404120194,0.6804659632646198,0.3230263173730963,144.0,136.0,11.0,72.0
3995532094997544704,0.10339018284917942,0.2535425078924294,0.0,0.9545835943143314,0.2666470025877091,0.44763221569305217,0.9943996046779772,0.04541640568566867,0.1011405076402081,0.25796049483843797,0.26931876292695306,0.19863998038570055,145.0,135.0,129.0,137.0
3996598927198996481,0.1643127305102575,0.32713670908290804,0.18798536568951107,0.9982864738229466,0.4588548133137348,0.33874870376771515,0.4360072475704167,0.0017135261770534304,0.1648278252612889,0.331366319810251,0.4570817693479874,0.30246555685198706,24.0,115.0,81.0,88.0
3998572645139652353,0.10961549333850687,0.39849227776980833,0.2602421900943263,0.9995522748936241,0.4449754585378456,0.032837884548911164,0.04150881238675671,0.00044772510637595026,0.11289299160925781,0.4022801801802283,0.43889135472846474,0.297508657116311,84.0,75.0,85.0,91.0
3998659472131949824,0.10961549414000962,0.45209503236961235,0.1635653581376259,1.0,0.610252057423331,0.02488765986864846,0.02190742875967715,0.0,0.11078939352018444,0.4555479498112978,0.6016107250483945,0.36146335986598144,128.0,48.0,30.0,41.0
3999240873283311617,0.1293695785278925,0.5971352466403881,0.6511447681513155,0.9997088107818308,0.6518959349229366,0.817836156239198,0.7425465326964256,0.00029118921816912905,0.1407229263642576,0.5996722801832618,0.654345596386385,0.43249453351659706,34.0,20.0,18.0,18.0
3999845462424248576,0.1912774070545475,0.3490672271171004,0.21565853060760487,0.9985085421780221,0.5418561912827943,0.4987901832008296,0.5442266512930324,0.001491457821977884,0.19180791786043505,0.35316003038884913,0.541220437397774,0.345037307480161,20.0,97.0,50.0,54.0
4000222729738650369,0.13326017975985296,0.3873823420724599,0.1677658671532765,0.9966329276759127,0.6983978073669149,0.18562046318700312,0.1554933289408664,0.0033670723240872384,0.1340109917553278,0.3912218618754751,0.6908280277836223,0.3782193635998603,40.0,80.0,10.0,31.0
4000877324693233921,0.10959089799776024,0.27544564111443437,0.1364693605524492,0.9915602528182553,0.5589185957885613,0.938126512270999,0.9942348871685059,0.008439747181744629,0.11017574860154296,0.27995862197622867,0.5645165816913951,0.2974128605409043,137.0,132.0,42.0,92.0
